@二货版萝卜头: [心]@新闻晨报:
@菲小菲小盆友: 父親節快樂[心]@新闻晨报:
@小狮子_msy: 转发微博@人民网:
@云台山: 父爱无疆，祝愿天底下所有的父亲一生健康幸福[玫瑰]@人民日报:
@致青春的语录: [心]@一句话明白:
@中国新闻网: 回复@零落萍萍:戳中泪点！父爱如山[泪][泪]来说说你和父亲之间的故事[心]#老爸，我爱你#@中国新闻网:
@中国新闻网:  回复@零落萍萍:戳中泪点！父爱如山[泪][泪]来说说你和父亲之间的故事[心]#老爸，我爱你#@中国新闻网:
@你将相思赋予谁: [心][心]@女汉纸爱穿高跟鞋:
@平安惠州: 祝愿所有的父亲幸福安康！[心]@公安部打四黑除四害:
@邢台公安网络发言人: 又萌又虐！这个男人从来不说我爱你，但他给了你全部[心]@公安部打四黑除四害:
@IN兰州: 祝愿所有的父亲幸福安康！@兰州发布:
@西北民族大学学生社团联合会: #父亲节# 今天是父亲节，祝福天下的父亲身体健康，工作顺利！@兰州发布:
@沈阳大小事: 转发微博@沈阳日报:
@蘑菇小姐要远行: 这辈子最爱的男人[大叔]@新浪大连:
@浦江县仙华街道办事处: 父亲节快乐@金华身边事:
